tactic_name,technique_ID
Reconnaissance,T1595
Reconnaissance,T1595.001
Reconnaissance,T1595.002
Reconnaissance,T1592
Reconnaissance,T1592.001
Reconnaissance,T1592.002
Reconnaissance,T1592.003
Reconnaissance,T1592.004
Reconnaissance,T1589
Reconnaissance,T1589.001
Reconnaissance,T1589.002
Reconnaissance,T1589.003
Reconnaissance,T1590
Reconnaissance,T1590.001
Reconnaissance,T1590.002
Reconnaissance,T1590.003
Reconnaissance,T1590.004
Reconnaissance,T1590.005
Reconnaissance,T1590.006
Reconnaissance,T1591
Reconnaissance,T1591.001
Reconnaissance,T1591.002
Reconnaissance,T1591.003
Reconnaissance,T1591.004
Reconnaissance,T1598
Reconnaissance,T1598.001
Reconnaissance,T1598.002
Reconnaissance,T1598.003
Reconnaissance,T1597
Reconnaissance,T1597.001
Reconnaissance,T1597.002
Reconnaissance,T1593
Reconnaissance,T1593.001
Reconnaissance,T1593.002
Reconnaissance,T1596
Reconnaissance,T1596.001
Reconnaissance,T1596.002
Reconnaissance,T1596.003
Reconnaissance,T1596.004
Reconnaissance,T1596.005
Reconnaissance,T1594
Resource Development,T1583
Resource Development,T1583.001
Resource Development,T1583.002
Resource Development,T1583.003
Resource Development,T1583.004
Resource Development,T1583.005
Resource Development,T1583.006
Resource Development,T1586
Resource Development,T1586.001
Resource Development,T1586.002
Resource Development,T1584
Resource Development,T1584.001
Resource Development,T1584.002
Resource Development,T1584.003
Resource Development,T1584.004
Resource Development,T1584.005
Resource Development,T1584.006
Resource Development,T1587
Resource Development,T1587.001
Resource Development,T1587.002
Resource Development,T1587.003
Resource Development,T1587.004
Resource Development,T1585
Resource Development,T1585.001
Resource Development,T1585.002
Resource Development,T1588
Resource Development,T1588.001
Resource Development,T1588.002
Resource Development,T1588.003
Resource Development,T1588.004
Resource Development,T1588.005
Resource Development,T1588.006
Initial Access,T0811
Initial Access,T1189
Initial Access,T0817
Initial Access,T0864
Initial Access,T1190
Initial Access,T0819
Initial Access,T1133
Initial Access,T0822
Initial Access,T1200
Initial Access,T0883
Initial Access,T1566
Initial Access,T1566.001
Initial Access,T0865
Initial Access,T1566.002
Initial Access,T1566.003
Initial Access,T1091
Initial Access,T0847
Initial Access,T1195
Initial Access,T0862
Initial Access,T1195.001
Initial Access,T1195.002
Initial Access,T1195.003
Initial Access,T1199
Initial Access,T1078
Initial Access,T1078.001
Initial Access,T1078.002
Initial Access,T1078.003
Initial Access,T1078.004
Initial Access,T0860
Execution,T1059
Execution,T1059.001
Execution,T1059.002
Execution,T1059.003
Execution,T1059.004
Execution,T1059.005
Execution,T1059.006
Execution,T1059.007
Execution,T1059.008
Execution,T0807
Execution,T0871
Execution,T1203
Execution,T0823
Execution,T1559
Execution,T1559.001
Execution,T1559.002
Execution,T0830
Execution,T1106
Execution,T0886
Execution,T0873
Execution,T1053
Execution,T1053.002
Execution,T1053.003
Execution,T1053.005
Execution,T1053.006
Execution,T0853
Execution,T1129
Execution,T1072
Execution,T1569
Execution,T1569.001
Execution,T1569.002
Execution,T1204
Execution,T0863
Execution,T1204.001
Execution,T1204.002
Execution,T1047
Persistence,T1098
Persistence,T1098.001
Persistence,T1098.002
Persistence,T1098.003
Persistence,T1098.004
Persistence,T1197
Persistence,T1547
Persistence,T1547.001
Persistence,T1547.002
Persistence,T1547.003
Persistence,T1547.004
Persistence,T1547.005
Persistence,T1547.006
Persistence,T1547.007
Persistence,T1547.008
Persistence,T1547.009
Persistence,T1547.010
Persistence,T1547.012
Persistence,T1037
Persistence,T1037.001
Persistence,T1037.002
Persistence,T1037.003
Persistence,T1037.004
Persistence,T1037.005
Persistence,T1176
Persistence,T1554
Persistence,T1136
Persistence,T1136.001
Persistence,T1136.002
Persistence,T1136.003
Persistence,T1543
Persistence,T1543.001
Persistence,T1543.002
Persistence,T1543.003
Persistence,T1543.004
Persistence,T1546
Persistence,T1546.001
Persistence,T1546.002
Persistence,T1546.003
Persistence,T1546.004
Persistence,T1546.005
Persistence,T1546.006
Persistence,T1546.007
Persistence,T1546.008
Persistence,T1546.009
Persistence,T1546.010
Persistence,T1546.011
Persistence,T1546.012
Persistence,T1546.013
Persistence,T1546.014
Persistence,T1546.015
Persistence,T1133
Persistence,T1574
Persistence,T1574.001
Persistence,T1574.004
Persistence,T1574.005
Persistence,T1574.006
Persistence,T1574.007
Persistence,T1574.008
Persistence,T1574.009
Persistence,T1574.010
Persistence,T1574.011
Persistence,T1574.012
Persistence,T0874
Persistence,T1525
Persistence,T0839
Persistence,T1137
Persistence,T1137.001
Persistence,T1137.002
Persistence,T1137.003
Persistence,T1137.004
Persistence,T1137.005
Persistence,T1137.006
Persistence,T1542
Persistence,T1542.001
Persistence,T0857
Persistence,T1542.002
Persistence,T1542.003
Persistence,T1542.004
Persistence,T1542.005
Persistence,T0843
Persistence,T0873
Persistence,T1053
Persistence,T1053.002
Persistence,T1053.003
Persistence,T1053.005
Persistence,T1053.006
Persistence,T1205
Persistence,T1205.001
Persistence,T1505
Persistence,T1505.001
Persistence,T1505.002
Persistence,T1505.003
Persistence,T1078
Persistence,T0859
Persistence,T1078.001
Persistence,T1078.002
Persistence,T1078.003
Persistence,T1078.004
Privilege Escalation,T1548
Privilege Escalation,T1548.001
Privilege Escalation,T1548.002
Privilege Escalation,T1548.004
Privilege Escalation,T1134
Privilege Escalation,T1134.001
Privilege Escalation,T1134.002
Privilege Escalation,T1134.003
Privilege Escalation,T1134.004
Privilege Escalation,T1134.005
Privilege Escalation,T1547
Privilege Escalation,T1547.001
Privilege Escalation,T1547.002
Privilege Escalation,T1547.003
Privilege Escalation,T1547.004
Privilege Escalation,T1547.005
Privilege Escalation,T1547.006
Privilege Escalation,T1547.007
Privilege Escalation,T1547.008
Privilege Escalation,T1547.009
Privilege Escalation,T1547.010
Privilege Escalation,T1547.012
Privilege Escalation,T1037
Privilege Escalation,T1037.001
Privilege Escalation,T1037.002
Privilege Escalation,T1037.003
Privilege Escalation,T1037.004
Privilege Escalation,T1037.005
Privilege Escalation,T1543
Privilege Escalation,T1543.001
Privilege Escalation,T1543.002
Privilege Escalation,T1543.003
Privilege Escalation,T1543.004
Privilege Escalation,T1546
Privilege Escalation,T1546.001
Privilege Escalation,T1546.002
Privilege Escalation,T1546.003
Privilege Escalation,T1546.004
Privilege Escalation,T1546.005
Privilege Escalation,T1546.006
Privilege Escalation,T1546.007
Privilege Escalation,T1546.008
Privilege Escalation,T1546.009
Privilege Escalation,T1546.010
Privilege Escalation,T1546.011
Privilege Escalation,T1546.012
Privilege Escalation,T1546.013
Privilege Escalation,T1546.014
Privilege Escalation,T1546.015
Privilege Escalation,T1068
Privilege Escalation,T1484
Privilege Escalation,T1574
Privilege Escalation,T1574.001
Privilege Escalation,T1574.004
Privilege Escalation,T1574.005
Privilege Escalation,T1574.006
Privilege Escalation,T1574.007
Privilege Escalation,T1574.008
Privilege Escalation,T1574.009
Privilege Escalation,T1574.010
Privilege Escalation,T1574.011
Privilege Escalation,T1574.012
Privilege Escalation,T1055
Privilege Escalation,T1055.001
Privilege Escalation,T1055.002
Privilege Escalation,T1055.003
Privilege Escalation,T1055.004
Privilege Escalation,T1055.005
Privilege Escalation,T1055.008
Privilege Escalation,T1055.009
Privilege Escalation,T1055.011
Privilege Escalation,T1055.012
Privilege Escalation,T1055.013
Privilege Escalation,T1055.014
Privilege Escalation,T1053
Privilege Escalation,T1053.002
Privilege Escalation,T1053.003
Privilege Escalation,T1053.005
Privilege Escalation,T1053.006
Privilege Escalation,T1078
Privilege Escalation,T1078.001
Privilege Escalation,T1078.002
Privilege Escalation,T1078.003
Privilege Escalation,T1078.004
Defense Evasion,T1548
Defense Evasion,T1548.001
Defense Evasion,T1548.003
Defense Evasion,T1548.004
Defense Evasion,T1548.002
Defense Evasion,T1134
Defense Evasion,T1134.001
Defense Evasion,T1134.002
Defense Evasion,T1134.003
Defense Evasion,T1134.004
Defense Evasion,T1134.005
Defense Evasion,T1197
Defense Evasion,T1140
Defense Evasion,T1006
Defense Evasion,T1480
Defense Evasion,T1480.001
Defense Evasion,T1211
Defense Evasion,T0820
Defense Evasion,T1222
Defense Evasion,T1222.001
Defense Evasion,T1222.002
Defense Evasion,T1484
Defense Evasion,T1564
Defense Evasion,T1564.001
Defense Evasion,T1564.002
Defense Evasion,T1564.003
Defense Evasion,T1564.004
Defense Evasion,T1564.005
Defense Evasion,T1564.006
Defense Evasion,T1564.007
Defense Evasion,T1574
Defense Evasion,T1574.001
Defense Evasion,T1574.004
Defense Evasion,T1574.005
Defense Evasion,T1574.006
Defense Evasion,T1574.007
Defense Evasion,T1574.008
Defense Evasion,T1574.009
Defense Evasion,T1574.010
Defense Evasion,T1574.011
Defense Evasion,T1574.012
Defense Evasion,T1562
Defense Evasion,T1562.001
Defense Evasion,T1562.002
Defense Evasion,T1562.003
Defense Evasion,T1562.004
Defense Evasion,T1562.006
Defense Evasion,T1562.007
Defense Evasion,T1562.008
Defense Evasion,T1070
Defense Evasion,T0872
Defense Evasion,T1070.001
Defense Evasion,T1070.002
Defense Evasion,T1070.003
Defense Evasion,T1070.004
Defense Evasion,T1070.005
Defense Evasion,T1070.006
Defense Evasion,T1202
Defense Evasion,T1036
Defense Evasion,T0849
Defense Evasion,T1036.001
Defense Evasion,T1036.002
Defense Evasion,T1036.003
Defense Evasion,T1036.004
Defense Evasion,T1036.005
Defense Evasion,T1036.006
Defense Evasion,T1556
Defense Evasion,T1556.001
Defense Evasion,T1556.002
Defense Evasion,T1556.003
Defense Evasion,T1556.004
Defense Evasion,T1578
Defense Evasion,T1578.001
Defense Evasion,T1578.002
Defense Evasion,T1578.003
Defense Evasion,T1578.004
Defense Evasion,T1112
Defense Evasion,T1601
Defense Evasion,T1601.001
Defense Evasion,T1601.002
Defense Evasion,T1599
Defense Evasion,T1599.001
Defense Evasion,T1027
Defense Evasion,T1027.001
Defense Evasion,T1027.002
Defense Evasion,T1027.003
Defense Evasion,T1027.004
Defense Evasion,T1027.005
Defense Evasion,T1542
Defense Evasion,T1542.001
Defense Evasion,T1542.002
Defense Evasion,T1542.003
Defense Evasion,T1542.004
Defense Evasion,T1542.005
Defense Evasion,T1055
Defense Evasion,T1055.001
Defense Evasion,T1055.002
Defense Evasion,T1055.003
Defense Evasion,T1055.004
Defense Evasion,T1055.005
Defense Evasion,T1055.008
Defense Evasion,T1055.009
Defense Evasion,T1055.011
Defense Evasion,T1055.012
Defense Evasion,T1055.013
Defense Evasion,T1055.014
Defense Evasion,T1207
Defense Evasion,T0848
Defense Evasion,T1014
Defense Evasion,T0851
Defense Evasion,T1218
Defense Evasion,T1218.001
Defense Evasion,T1218.002
Defense Evasion,T1218.003
Defense Evasion,T1218.004
Defense Evasion,T1218.005
Defense Evasion,T1218.007
Defense Evasion,T1218.008
Defense Evasion,T1218.009
Defense Evasion,T1218.010
Defense Evasion,T1218.011
Defense Evasion,T1218.012
Defense Evasion,T1216
Defense Evasion,T1216.001
Defense Evasion,T0856
Defense Evasion,T1553
Defense Evasion,T1553.001
Defense Evasion,T1553.002
Defense Evasion,T1553.003
Defense Evasion,T1553.004
Defense Evasion,T1221
Defense Evasion,T1205
Defense Evasion,T1205.001
